,Finance Year,Dispatch Date,Month,Business,Customer name,Marketing Rep.,Type,Pack Cat,Pack Type,Uni - Blend,Quantity (Kg),CY QTY (MT),Value (₹),CY Val(Lakhs),Destination,Country,Region,Budget Vol(MT),Budget Value (₹),Budget Val(Lakhs),LY QTY (MT),LY Val(Lakhs)
11038,FY'2024-25,2024-04-08,APR,NCL,INSTANTA POLAND,Balaji,SD,Bulk,Bulk,G-2215,13500.0,13.5,8311308.75,83.1130875,"GDANSK, POLAND",POLAND,EU,,,,,
11039,FY'2024-25,2024-04-08,APR,NCL,INSTANTA POLAND,Balaji,SD,Bulk,Bulk,G-2215 RA,13500.0,13.5,8524203.75,85.2420375,"GDANSK, POLAND",POLAND,EU,,,,,
11040,FY'2024-25,2024-04-08,APR,NCL,INSTANTA POLAND,Balaji,SD,Bulk,Bulk,G-2216,13500.0,13.5,8199258.75,81.9925875,"GDANSK, POLAND",POLAND,EU,,,,,
11041,FY'2024-25,2024-04-08,APR,NCL,INSTANTA POLAND,Balaji,SD,Bulk,Bulk,G-2216 RA,13500.0,13.5,8412153.75,84.1215375,"GDANSK, POLAND",POLAND,EU,,,,,
11042,FY'2024-25,2024-04-08,APR,NCL,SUCAFINA,Ravi Sai,SD,Bulk,Bulk,G-2097,75000.0,75.0,42018750.0,420.1875,TP HOCHIMINH,VIETNAM,Rest of Asia,,,,,
11043,FY'2024-25,2024-04-09,APR,NCL,FES,Ravi Sai,SD,Bulk,Bulk,G-1562,6800.0,6.8,4915924.000000001,49.15924000000001,BINH DUONG VIETNAM,VIETNAM,Rest of Asia,,,,,
11044,FY'2024-25,2024-04-09,APR,NCL,FES,Ravi Sai,SD,Bulk,Bulk,G-1562,18000.0,18.0,13012740.000000002,130.12740000000002,BINH DUONG VIETNAM,VIETNAM,Rest of Asia,,,,,
11045,FY'2024-25,2024-04-10,APR,NCL,FES,Ravi Sai,SD,Bulk,Bulk,G-1855,18750.0,18.75,15873750.0,158.7375,"VLADIVOSTOK, RUSSIA",RUSSIA,CIS,,,,,
11046,FY'2024-25,2024-04-10,APR,NCL,VOLCAFE,Ravi Sai,SD,Bulk,Bulk,G-1948,18750.0,18.75,6785250.0,67.8525,"PORT KLANG, MALAYSIA",MALAYSIA,Rest of Asia,,,,,
11047,FY'2024-25,2024-04-10,APR,EOU-Export,STRAUSS,Ravi Sai,FD,Bulk,Bulk,CCL FD/5,16790.0,16.79,10470747.7,104.707477,ST.PETERSBURG,RUSSIA,CIS,,,,,
11048,FY'2024-25,2024-04-10,APR,EOU-Export,STRAUSS,Ravi Sai,FD,Bulk,Bulk,CCL FD/5,16790.0,16.79,10470747.7,104.707477,ST.PETERSBURG,RUSSIA,CIS,,,,,
11049,FY'2024-25,2024-04-10,APR,EOU-Export,STRAUSS,Ravi Sai,FD,Bulk,Bulk,CCL FD/5,16790.0,16.79,10470747.7,104.707477,ST.PETERSBURG,RUSSIA,CIS,,,,,
11050,FY'2024-25,2024-04-10,APR,EOU-Export,STRAUSS,Ravi Sai,FD,Bulk,Bulk,CCL FD/5,16790.0,16.79,10470747.7,104.707477,ST.PETERSBURG,RUSSIA,CIS,,,,,
11051,FY'2024-25,2024-04-10,APR,EOU-Export,STRAUSS,Ravi Sai,FD,Bulk,Bulk,CCL FD/5,16790.0,16.79,10470747.7,104.707477,ST.PETERSBURG,RUSSIA,CIS,,,,,
11052,FY'2024-25,2024-04-10,APR,EOU-Export,STRAUSS,Ravi Sai,FD,Bulk,Bulk,CCL FD/5,16790.0,16.79,10470747.7,104.707477,ST.PETERSBURG,RUSSIA,CIS,,,,,
11053,FY'2024-25,2024-04-10,APR,EOU-Export,CCSA,Revanth,FD,Small,Jar,DK47,5443.2,5.4432,5693870.2464000005,56.938702464,LES VERRIERES,SWITZERLAND,EU,,,,,
11054,FY'2024-25,2024-04-10,APR,EOU-Export,CCSA,Revanth,FD,Small,Jar,DK47,5443.2,5.4432,5693870.2464000005,56.938702464,LES VERRIERES,SWITZERLAND,EU,,,,,
11063,FY'2024-25,2024-04-11,APR,NCL,PT.HARUM,Balaji,SD,Bulk,Bulk,G-1665P,112500.0,112.5,63495000.0,634.95,"TANJUNG PERAK,      SURABAYA, INDONESIA",INDONESIA,Rest of Asia,,,,,
11064,FY'2024-25,2024-04-11,APR,NCL,PT.HARUM,Balaji,SD,Bulk,Bulk,G-1816 P,37500.0,37.5,21165000.0,211.65,"TANJUNG PERAK,      SURABAYA, INDONESIA",INDONESIA,Rest of Asia,,,,,
11065,FY'2024-25,2024-04-11,APR,EOU-Export,CCSA,Revanth,FD,Small,Stick,DK47,3628.8,3.6288,4880460.2112,48.804602112,LES VERRIERES,SWITZERLAND,EU,,,,,
11066,FY'2024-25,2024-04-11,APR,EOU-Export,CCSA,Revanth,FD,Small,Jar,DK47,5443.2,5.4432,5693870.2464000005,56.938702464,LES VERRIERES,SWITZERLAND,EU,,,,,
11067,FY'2024-25,2024-04-11,APR,EOU-Export,OPULENCE INTERNATIONAL LIMITED,Prabin,AG,Small,Stick,G-2449,4200.0,4.2,4142224.8,41.422247999999996,CONAKRY,GUINEA,AMEA,,,,,
11072,FY'2024-25,2024-04-12,APR,NCL,INSTANTA VIETNAM,Balaji,AG,Bulk,Bulk,G-2150,6000.0,6.0,5976000.0,59.76,"HAI PHONG, VN",VIETNAM,Rest of Asia,,,,,
11073,FY'2024-25,2024-04-12,APR,NCL,INSTANTA VIETNAM,Balaji,AG,Bulk,Bulk,AG-CAUDAT,4000.0,4.0,3984000.0,39.84,"HAI PHONG, VN",VIETNAM,Rest of Asia,,,,,
11074,FY'2024-25,2024-04-12,APR,NCL,INSTANTA VIETNAM,Balaji,SD,Bulk,Bulk,SD-CAUDAT,5000.0,5.0,4814000.0,48.14,"HAI PHONG, VN",VIETNAM,Rest of Asia,,,,,
11075,FY'2024-25,2024-04-13,APR,NCL,FES,Ravi Sai,SD,Bulk,Bulk,G-236,10000.0,10.0,8424500.0,84.245,BINH DUONG VIETNAM,VIETNAM,Rest of Asia,,,,,
11076,FY'2024-25,2024-04-13,APR,NCL,FES,Ravi Sai,SD,Bulk,Bulk,G-2624,7000.0,7.0,5856480.0,58.5648,BINH DUONG VIETNAM,VIETNAM,Rest of Asia,,,,,
11090,FY'2024-25,2024-04-13,APR,EOU-Export,CCSA,Revanth,FD,Small,Jar,CCL FD/5 RA,4032.0,4.032,4185403.4880000004,41.85403488,LES VERRIERES,SWITZERLAND,EU,,,,,
11091,FY'2024-25,2024-04-13,APR,EOU-Export,CCSA,Revanth,FD,Small,Jar,RFP3025,5443.2,5.4432,7262589.600000001,72.62589600000001,LES VERRIERES,SWITZERLAND,EU,,,,,
11092,FY'2024-25,2024-04-13,APR,EOU-Export,CCSA,Revanth,FD,Small,Jar,CCL FD/5 RA,4032.0,4.032,4185403.4880000004,41.85403488,LES VERRIERES,SWITZERLAND,EU,,,,,
11093,FY'2024-25,2024-04-13,APR,EOU-Export,CCSA,Revanth,FD,Small,Jar,CCL FD/5 RA,4032.0,4.032,4185403.4880000004,41.85403488,LES VERRIERES,SWITZERLAND,EU,,,,,
11094,FY'2024-25,2024-04-13,APR,EOU-Export,SUPERSONIC DISTRIBUTION ,Prabin,AG,Small,Can,G-5877,8760.0,8.76,7244520.0,72.4452,INDIA,INDIA,Rest of Asia,,,,,
11095,FY'2024-25,2024-04-13,APR,EOU-Export,CCSA,Revanth,FD,Small,Stick,DK47,3628.8,3.6288,4880460.2112,48.804602112,LES VERRIERES,SWITZERLAND,EU,,,,,
11096,FY'2024-25,2024-04-13,APR,EOU-Export,GROUNDUP,Yashwanth,SD,Bulk,Bulk,RSP-1625,7650.0,7.65,5958722.699999999,59.58722699999999,CHICAGO,USA,NAR,,,,,
11097,FY'2024-25,2024-04-13,APR,EOU-Export,GROUNDUP,Yashwanth,FD,Bulk,Bulk,CCL FD/5,2001.0,2.001,1890832.9439999997,18.908329439999996,CHICAGO,USA,NAR,,,,,
11098,FY'2024-25,2024-04-13,APR,EOU-Export,GROUNDUP,Yashwanth,SD,Bulk,Bulk,SDCB-A,8525.0,8.525,9168228.299999999,91.68228299999998,CHICAGO,USA,NAR,,,,,
11116,FY'2024-25,2024-04-15,APR,NCL,FUNDAMENTAL FOODS,Yashwanth,SD,Bulk,Bulk,CF-YAR-N,18750.0,18.75,13695000.0,136.95,"TAIPEI, TAIWAN",TAIWAN,Rest of Asia,,,,,
11117,FY'2024-25,2024-04-15,APR,EOU-Export,SOCIETE GUINEENNE,Ravi Sai,AG,Small,Sachet,G-2736,5610.0,5.61,6178480.0,61.7848,CONAKRY,GUINEA,AMEA,,,,,
11118,FY'2024-25,2024-04-15,APR,EOU-Export,CCSA,Revanth,FD,Small,Jar,RFP3025,1555.2,1.5552000000000001,2075025.6,20.750256,LES VERRIERES,SWITZERLAND,EU,,,,,
11119,FY'2024-25,2024-04-15,APR,EOU-Export,CCSA,Revanth,FD,Small,Jar,CCL FD/5,1814.4,1.8144,1989949.5504,19.899495504,LES VERRIERES,SWITZERLAND,EU,,,,,
11120,FY'2024-25,2024-04-15,APR,EOU-Export,CCSA,Revanth,FD,Small,Pouch,CCL FD/5,320.0,0.32,307126.56,3.0712656,LES VERRIERES,SWITZERLAND,EU,,,,,
11121,FY'2024-25,2024-04-15,APR,EOU-Export,CCSA,Revanth,SD,Small,Jar,DK46,940.8,0.9408,914667.8687999999,9.146678688,LES VERRIERES,SWITZERLAND,EU,,,,,
11137,FY'2024-25,2024-04-16,APR,NCL,PT.HARUM,Balaji,SD,Bulk,Bulk,G-1665P,93750.0,93.75,52912500.0,529.125,"TANJUNG PERAK,      SURABAYA, INDONESIA",INDONESIA,Rest of Asia,,,,,
11138,FY'2024-25,2024-04-16,APR,NCL,FES,Ravi Sai,SD,Bulk,Bulk,G-1855,18750.0,18.75,15873750.0,158.7375,"ST.PETERSBURG, RUSSIA",RUSSIA,CIS,,,,,
11139,FY'2024-25,2024-04-16,APR,NCL,FES,Ravi Sai,SD,Bulk,Bulk,G-1855,18750.0,18.75,15873750.0,158.7375,"ST.PETERSBURG, RUSSIA",RUSSIA,CIS,,,,,
11140,FY'2024-25,2024-04-16,APR,EOU-Export,OMSHREE INTL PVT LTD,Ravi Sai,AG,Bulk,Bulk,CSC0191,7130.0,7.13,5411670.0,54.1167,INDIA,INDIA,Rest of Asia,,,,,
11141,FY'2024-25,2024-04-16,APR,EOU-Export,CCSA,Revanth,SD,Small,Jar,DK46,3225.6,3.2256,3136004.1215999997,31.360041215999996,LES VERRIERES,SWITZERLAND,EU,,,,,
11142,FY'2024-25,2024-04-16,APR,EOU-Export,SOCIETE GUINEENNE,Ravi Sai,AG,Small,Sachet,G-2736,5610.0,5.61,6178480.0,61.7848,CONAKRY,GUINEA,AMEA,,,,,
11143,FY'2024-25,2024-04-16,APR,EOU-Export,CCSA,Revanth,FD,Small,Jar,DK47,4838.4,4.8384,5306532.1344,53.065321344,LES VERRIERES,SWITZERLAND,EU,,,,,
